id,Name,Type,Description,Image,Price,Link,Tags,Liked
1,Living Composter,Household,"Composting has never looked so chic! Minimalist and modern, this model is perfect for a busy household — it can process more than two pounds of food a week.","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1602794650-47184_1_1200px.jpg?crop=1xw:1.00xh;center,top&resize=480:*",199,https://www.uncommongoods.com/product/living-composter,"Women, Men",FALSE
2,Funny Produce Bags,Fashion,These reusable produce bags actually keep your fruits fresh for longer than the single use plastic ones the store supplies — just subtract the bag's weight as you check out.,"https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1602794892-52292_1_1200px.jpg?crop=1xw:1.00xh;center,top&resize=480:*",15,https://www.uncommongoods.com/product/funny-food-plastic-free-produce-bags,"Women, Men",FALSE
3,Reusable Bowl Covers,Household,No need to dirty plastic containers or throw your leftovers out — these breathable cloth covers will preserve everything from fruit salad to bread dough.,"https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1602795699-51290_1_1200px.jpg?crop=1xw:1.00xh;center,top&resize=480:*",40,https://www.uncommongoods.com/product/reusable-bowl-covers-set-of-3,"Women, Men",FALSE
4,Stainless Steel Water Bottle,Sport,"This pretty S'well water bottle not only sidesteps the need for single-use plastic water bottles, it also keeps your drink cold for up to 24 hours.","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1576013377-screen-shot-2019-12-10-at-4-28-49-pm-1576013348.png?crop=0.758xw:0.996xh;0.128xw,0&resize=480:*",35,https://www.amazon.com/dp/B07G2VPWPT?linkCode=ogi,"Women, Men, Teens, Kids",FALSE
5,Cork Yoga Mat,Sport,"Unlike typical yoga mats, cork mats are made of oak tree bark, which grows back when harvested sustainably — making this a great gift for an eco-minded yogi.","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1602790760-61Q6HzAp9jL.jpg?crop=0.670xw:1.00xh;0.324xw,0&resize=480:*",34,https://www.amazon.com/dp/B07HBC56T7?linkCode=ogi,"Women, Men, Teens",FALSE
6,BPA-Free Fire Truck,Toy,Can you believe that this fire truck is made completely from recycled plastic milk containers? Neither will the kids who get to play with it.,"https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1576014157-51UH56mpF4L.jpg?crop=1xw:1.00xh;center,top&resize=480:*",28,https://www.amazon.com/dp/B003WMC6U0?linkCode=ogi,"Kids, Babies",FALSE
7,Solar-Powered Phone Charger,Tech,"This wireless, solar-powered charger also features a compass and flashlight, making it a must-have for any camping trip.","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1576078181-51OAC9Ba3IL.jpg?crop=1xw:1.00xh;center,top&resize=480:*",30,https://www.amazon.com/dp/B07FDXDB3W?linkCode=ogi,"Women, Men, Teens",FALSE
8,Thermal Travel Mug,Sport,"This porcelain cup holds 16 ounces of liquid, and yes, you can fill it up at Starbucks (they'll even give you a discount for your sustainable efforts).","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1602790974-kate-spade-1602790955.jpg?crop=1xw:1xh;center,top&resize=480:*",20,https://www.amazon.com/dp/B01N9VYPWW?linkCode=ogi,"Women, Men, Teens",FALSE
9,Reusable Sandwich Bags,Household,These dishwasher-safe bags come in a ton of fun colors and patterns.,"https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1576013476-51GDv7hOoGL.jpg?crop=1xw:1.00xh;center,top&resize=480:*",15,https://www.amazon.com/dp/B07CXSBBC3?linkCode=ogi,"Women, Men, Teens, Kids",FALSE
10,Daytripper Tote,Fashion,"Grocery shopping has never looked so cute! This blue-and-black  gingham bag is extra roomy so it can hold a big grocery haul, but it folds flat for easy storage.","https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1602791178-bts20_12057_lifestyle_1.jpg?crop=1xw:1.00xh;center,top&resize=480:*",45,https://www.scoutbags.com/check-magnet-daytripper,"Women, Teens",FALSE
